,source_sentence,label,human,time,location
184,"Before leaving India after her first period of missionary work in 1908, she had been informed that the Presbyterian board planned to open a hospital for women and children in Jhelum, India, which should be ready for work in less than two years.",settlement,she,1908,India
185,"He joined Cornell University as Professor of Materials Science and Engineering in 1980, and was made director of the Microscience and Technology Program in 1989.",career,He,1980,Cornell University
186,"Wadsworth received a Master of Arts in 1874 from Harvard, and over the summer of 1874, he worked on a geological survey of New Hampshire.",career,he,1874,New Hampshire
187,"He was consecrated bishop on 25 July 1972 at St Andrew""s Cathedral, Sydney.",career,He,25 July 1972,Sydney
188,He represented the United States at the 2022 Winter Olympics.,competition,He,2022,United States
189,"With the Meiji Restoration, Tokugawa Akitake was ordered back to Japan, but Alexander stayed on in Europe and returned to Japan a year later in 1869 as an advisor to the Empire of Austria-Hungary.",settlement,Alexander,a year later,Europe
190,"In 2002, following the resignation of Jesús Gil due to his involvement in a corruption case, Muñoz took over the duties of the Mayor of Marbella until he officially obtained the post on May 2, 2002.In 2003 the GIL, with Muñoz as their leader, obtained an absolute majority in the Marbella town council.",career,Muñoz,2002,Marbella
191,"On January 20, 1922, she competed in a blues-singing contest with Lucille Hegamin, Alice Leslie Carter and Trixie Smith (the eventual winner) at the Manhattan Casino in New York City.",competition,Trixie Smith,"January 20, 1922",Manhattan Casino
192,"In 1972 in Sydney, she met her husband, Lyall Munro Jnr, and they both became founding members of the Aboriginal Housing Company (AHC).",meet,Lyall Munro Jnr,1972,Sydney
193,"Humbert de Wendel (1876–1954) and Maurice de Wendel (1879–1961).François de Wendel left Lorraine in 1891 to avoid German military service, and finished his secondary education in a Jesuit lycée in Paris.",movement,Maurice de Wendel,1891,Lorraine
194,"Two years later Ayerza travelled to Paris, France, to develop his technique of neurological examination and cardiopulmonary auscultation.",movement,Ayerza,Two years,Paris
195,Aleksandr Maksimov was born in Oryol on 13 August 1872.,birth,Aleksandr Maksimov,13 August 1872,Oryol
196,"She was also a strong supporter of outdoor education, and in 1936 took part in the Second International Congress for Open Air Education, which took place in Belgium.",assembly,She,1936,Belgium
197,"Buckley was born in 1906 in Ecclesall, Sheffield, the son of Henry Buckley, a pocket knife grinder for a manufacturer of cutlery, and his wife Rose Alice.",give birth,Rose Alice,1906,Ecclesall
198,"William ""Bill"" Harris was born on June 15, 1916, in Strathmore, California, to Albert Asbury Harris and Harriet Barclay Harris.",birth,"William ""Bill"" Harris","June 15, 1916",Strathmore
199,He was in 1684 in Lyon in the company of the Dutch painters Adriaen van der Cabel and of Gillis Weenix.,settlement,Gillis Weenix,1684,Lyon
200,"In 1971, Rodriguez graduated from La Salle High School with honors.",education,Rodriguez,1971,La Salle High School
201,"Walter Tansill Oliver was born on May 10, 1873, in Kenmore, Fairfax County, Virginia, to Lucretia A. (née Tansill) and Lewis C. Oliver.",birth,Tansill,"May 10, 1873",Kenmore
202,"Kimberly Dianne Shattuck was born on July 17, 1963, at Long Beach, California, daughter of Kent and Betty (née Hess) Shattuck.",birth,Shattuck,"July 17, 1963",California
203,"He then entered the University of Orléans in 1969 as a professor, where he was Director of the Institute of Organic and Analytical Chemistry from 1978 to 1987.",career,he,1969,University of Orléans
204,"Trout was born to Jeff and Debbie (née Busonick) Trout in Vineland, New Jersey, on August 7, 1991.",give birth,Jeff,"August 7, 1991",Vineland
205,He was a Professor of Law for National University (now part of George Washington University) in 1930.,career,He,1930,National University
206,"He played college football at Central Washington University, Kelly was signed to the Oakland Raiders as a undrafted free agent in 2011 .",career,He,2011,Central Washington University
207,"He became interested in flying when he saw an airshow in Baltimore, Maryland, in November, 1910, and began flight training that year at College Park Airport in Maryland.",education,He,that year,Baltimore
208,"Williams was offered the Shepparton coaching position in 1960, which eventually went to Tom Hafey but Williams opted for the Benalla role and lead them from 1960 to 1963 which included a Ovens & Murray Football League grand loss in 1961 and two premierships in 1962 and 1963.",career,Williams,1960,Shepparton
209,"Amine Al-Sanini (, born 1 January 1965 ) is a Yemeni former football goalkeeper who played for Al-Ahli San""a"" and the Yemen national team.",birth,Amine Al-Sanini,1 January 1965,Yemen
210,"In the 2000s, she held positions at the Jacobs School of Music, Indiana University—Bloomington, including as a Fulbright Scholar, and eventually joined the faculty of the Music in General Studies program.",career,she,the 2000s,Jacobs School of Music
211,"He worked as a curate in Fulwood before becoming the Vicar of St Mark, Grenoside in 1984.",career,He,1984,Fulwood
212,Rogers was ordained deacon by the Bishop of London Richard Chartres to the Anglican Church in June 2007.,career,Rogers,June 2007,London
213,"In 1740 Bastide went to America as chief engineer at Annapolis Royal, then the chief town of Nova Scotia, but with responsibilities for defences and fortifications throughout Nova Scotia and New England.",career,Bastide,1740,America
214,"She graduated in 1995 with Bachelor of Science degree (B.Sc) Urban and Regional Planning, after which Ramatu went to Nasarawa State University, Keffi, and completed her master""s degree in Public Administration.",education,Ramatu,1995,Keffi
215,"Pope Francis made Barreto a Cardinal-Priest in the consistory of 28 June 2018, assigning him the titular church of Santi Pietro e Paolo a Via Ostiense.",career,Barreto,28 June 2018,Santi Pietro e Paolo a Via Ostiense
216,In October 1924 he found a body on Mount Victoria.,other,he,October 1924,Mount Victoria
217,"Hook, Jesse Ewing, and several other silver prospectors traveled on the Green River in three boats during the summer of 1868.",movement,Jesse Ewing,the summer of 1868,Green River
218,He got a scholarship to the Crawford Municipal School of Art which he entered in 1955.,education,He,1955,Crawford Municipal School of Art
219,"Circa 1994, she attended American High School in Fremont, where she was a member of the Honor Society as well as a cheerleader.",education,she,Circa 1994,Fremont
220,"Cyrus had manumitted a slave, Chrysippus Vettius, who was a friend of Cicero""s, and who informed Cicero of the affairs of his former protégé, Gaius Trebatius Testa, who was with Caesar in Gaul early in 53 BC.  In his letter to Trebatius, Cicero mentions that he was glad to hear that he was still remembered fondly, and pleased to learn that Trebatius was on good terms with Caesar.",settlement,he,53 BC,Gaul
221,"In a 2017 interview, Harnsberger recalled that he began to turn toward the political left during a 2011 trip to Cambodia, with the main catalyst being reports by Al Jazeera and the BBC
on the debt-ceiling fight between Barack Obama and Congress.",meet,he,2011,Cambodia
222,"Basin died in Utrecht on 3 December 1491, and was buried in the church of St. John (Janskerk).",death,Basin,3 December 1491,Utrecht
223,"After a dispute over the sharing of personal resources and money Reublin was banned from the local community and returned to southwest Germany in 1531, where he was again evangelizing in Rottenburg.",career,he,1531,Germany
224,"Encouraged by Melba to apply her talent in England, Buckman moved in 1912.",settlement,Buckman,1912,England
225,"In 1916 she planned a long-distance walk with two of her daughters, from Los Angeles to Chicago.",movement,she,1916,Chicago
226,"So when the call went out to form a Baptist church in Wellington, Kirk as a member of the first congregation of nineteen that came together on 20 January 1878.",assembly,Kirk,20 January 1878,Wellington
227,In 1983 he surveyed the black-necked crane in Ladakh.,other,he,1983,Ladakh
228,"Milnes returned to London in 1837, and was elected to Parliament as member for Pontefract as a Conservative.",career,Milnes,1837,London
229,"In 1962, he was warden of Dufferin County.",career,he,1962,Dufferin County
230,"In 2000, Annakov won the Foxwoods Open in Mashantucket, Connecticut , USA.",competition,Annakov,2000,Mashantucket
231,"During the year of 1960, he received his Ph.D. in zoology at the University of California at Berkeley.",education,he,the year of 1960,University of California at Berkeley
232,"In 2002, she attended University of California, Berkeley, earning a BA degree in Comparative Literature.",education,she,2002,"University of California, Berkeley"
233,"In 1944 he returned to Hale School, before being appointed headmaster of Geelong College in 1945.Buntine",career,he,1944,Hale School
234,She left Boise at age 18 in hopes of becoming a writer after attending Columbia University.,movement,She,age 18,Boise
235,"Heather Deen Locklear was born on September 25, 1961, in Los Angeles, California, the daughter of Diane (née Tinsley), a production executive and Bill Locklear, a UCLA administrator and former Colonel in the United States Marine Corps.",give birth,Tinsley,"September 25, 1961",California
236,"Hambüchen""s first major senior competition was the 2003 World Artistic Gymnastics Championships in Anaheim.",competition,Hambüchen,2003,Anaheim
237,"He graduated from the high school of medicine in Niš in 1973, majoring as a dental technician, and earned a degree from the University of Skopje""s Faculty of Dentistry in 1979.",education,He,1973,Niš
238,"Taken to the hospital, she died from her injuries on 4 October in Vienna.",death,she,4 October,Vienna
239,"Christian leaderJuan de las Cabezas Altamirano (1565 – 19 December 1615) was a Roman Catholic prelate who served as Bishop of Arequipa (1615), Bishop of Santiago de Guatemala (1610–1615), and Bishop of Santiago de Cuba (1602–1610).",career,de las Cabezas Altamirano,1602–1610,Arequipa
240,"Elizabeth Van Lew was born on October 12, 1818, in Richmond, Virginia to John Van Lew and Eliza Baker, whose maternal grandfather was Hilary Baker, mayor of Philadelphia from 1796 to 1798.",birth,Eliza Baker,"October 12, 1818",Richmond
241,"Cuffee moved to New York in the 1920s, where he recorded with Clarence Williams (1927–29) and played with Bingie Madison.",creation,he,the 1920s,New York
242,"In February 2003, Jung was arrested in Honolulu, Hawaii on charges of battery after slashing two men in a Korean restaurant when he was joining the Doosan Bears spring training camp.",justice,he,February 2003,Honolulu
243,"In 1889, he was awarded a doctorate in Leipzig with a thesis on Ruprecht von der Pfalz und das Konzil zu Pisa, the following year he passed the Staatsexamen.",education,he,the following year,Leipzig
244,"Despite Toronto""s reputation as an elite territory, Tunney saw the low end of his promotion in 1965.",career,Tunney,1965,Toronto
245,"Jackson was captured at the Battle of Nashville and was paroled from Fort Warren, Massachusetts, on July 8, 1865.After the war",justice,Jackson,"July 8, 1865.After",Massachusetts
